"Q_part_1","Q_part_2","Q_part_3","Q_part_4","Q_part_5","Q_part_6","Q_part_7","Q_part_8","Q_part_9","Q_part_10","Q_part_11","Q_part_12","Q_part_13"
11,4,15,10428,15,9,8,9,9,8,9,8,7
13,20,15,34938,15,7,5,6,6,3,6,5,4
17,33,15,51074,15,7,6,7,7,6,5,6,7
25,7,15,14854,15,7,5,7,8,8,7,7,7
15,8,15,18269,15,9,9,9,9,7,9,9,9
19,26,15,42825,15,8,7,8,8,9,7,8,9
5,23,15,38729,15,9,8,9,9,8,9,9,9
14,41,15,62215,15,7,6,4,3,4,4,3,5
5,17,15,33061,15,8,7,8,8,8,8,8,4
5,36,15,54927,15,9,9,9,9,7,5,8,7
13,14,15,29637,15,8,7,7,9,7,8,8,6
20,49,15,71954,15,8,6,7,9,7,8,8,6
25,25,15,41584,15,7,8,7,9,7,7,7,8
3,3,15,7749,15,6,4,1,3,1,1,1,1
5,32,15,50416,15,7,6,7,5,6,5,6,7
6,10,15,23616,15,7,6,6,8,8,4,6,7
9,39,15,60554,15,9,5,8,8,7,8,8,9
5,37,15,56987,15,7,7,7,6,7,7,7,7
11,45,15,66798,15,7,7,7,8,8,8,8,8
14,13,15,28918,15,9,9,9,9,9,9,9,9
19,50,15,72192,15,6,6,6,6,6,6,5,6
23,29,15,47890,15,9,7,9,9,8,9,9,9
30,6,15,12905,15,8,9,8,9,8,9,8,8
4,34,15,51979,15,7,6,6,6,5,5,5,5
12,11,15,24301,15,7,7,7,7,7,7,5,5
13,35,15,52757,15,6,5,5,5,4,4,4,5
22,42,15,64407,15,9,7,9,8,8,8,9,9
26,2,15,7144,15,7,3,6,8,7,6,7,7
15,46,15,68152,15,7,7,7,8,8,4,7,7
25,27,15,43493,15,9,8,8,9,8,9,9,9
28,43,15,65009,15,8,6,7,6,3,7,6,4
18,44,15,66742,15,8,6,7,6,7,8,8,3
1,48,15,69340,15,7,4,5,4,1,3,3,1
12,15,15,30144,15,7,6,5,6,4,7,3,4
6,40,15,61579,15,9,6,7,8,3,9,6,4
26,31,15,49616,15,9,9,9,9,9,9,9,9
9,21,15,35576,15,8,8,8,9,7,8,8,8
18,28,15,45600,15,8,7,8,8,7,7,7,7
19,38,15,59109,15,7,7,6,7,7,7,7,7
25,30,15,47964,15,8,8,7,7,7,7,8,7
2,5,15,11579,15,9,7,5,1,3,3,3,7
13,4,15,10428,15,7,7,5,4,4,4,4,2
30,22,15,37394,15,3,3,3,3,3,3,3,3
26,10,15,23616,15,7,7,7,7,7,6,7,6
27,37,15,56987,15,8,8,7,6,6,5,6,6
28,30,15,47964,15,8,8,8,8,8,8,8,8
2,25,15,41584,15,6,4,4,6,1,5,2,3
7,9,15,19228,15,9,9,9,9,9,8,9,9
22,29,15,47890,15,7,7,6,7,7,7,7,7
23,26,15,42825,15,7,8,8,7,7,7,7,8
9,33,15,51074,15,7,7,8,7,8,7,7,7
17,46,15,68152,15,6,5,7,6,6,6,6,7
23,48,15,69340,15,7,5,5,6,4,5,5,2
11,13,15,28918,15,8,7,7,7,7,7,7,7
17,24,15,41174,15,7,8,7,4,4,3,4,3
3,39,15,60554,15,9,8,9,9,8,7,8,9
14,22,15,37394,15,8,7,7,8,8,9,8,8
28,21,15,35576,15,9,9,9,9,9,9,9,9
7,5,15,11579,15,9,9,7,9,9,1,9,9
16,1,15,4003,15,9,9,7,7,7,1,9,7
30,45,15,66798,15,8,8,9,9,9,2,9,9
1,43,15,65009,15,8,1,2,7,7,4,6,2
8,16,15,32930,15,3,2,4,7,6,4,7,3
14,31,15,49616,15,8,8,8,8,9,7,8,8
23,7,15,14854,15,9,5,9,9,8,8,9,9
9,32,15,50416,15,8,8,8,8,7,7,7,8
26,3,15,7749,15,9,4,6,6,7,8,8,8
16,23,15,38729,15,9,6,9,9,9,8,8,8
30,35,15,52757,15,7,3,9,9,8,8,8,7
10,6,15,12905,15,8,8,8,8,6,8,8,8
12,17,15,33061,15,9,7,7,7,6,3,5,5
12,18,15,33575,15,7,8,7,6,4,8,7,4
21,47,15,69312,15,4,6,4,7,5,6,5,4
22,11,15,24301,15,5,6,4,3,2,7,4,2
26,50,15,72192,15,7,8,6,6,5,8,7,6
30,8,15,18269,15,6,5,4,3,2,5,4,2
6,14,15,29637,15,8,7,5,7,4,8,8,8
28,27,15,43493,15,9,7,7,8,9,8,8,9
29,28,15,45600,15,9,9,6,6,7,9,7,8
4,20,15,34938,15,7,6,4,4,2,2,2,2
18,40,15,61579,15,7,8,8,8,7,7,8,7
27,19,15,34366,15,5,6,7,6,5,5,5,6
13,42,15,64407,15,7,7,8,7,7,8,7,7
5,15,15,30144,15,8,9,7,9,9,9,9,9
13,49,15,71954,15,8,8,8,9,8,8,8,9
7,20,15,34938,15,8,3,7,8,7,7,7,7
7,23,15,38729,15,9,9,9,9,8,6,8,8
1,45,15,66798,15,9,7,8,9,6,8,8,8
10,4,15,10428,15,9,8,7,7,6,9,7,7
12,42,15,64407,15,9,8,8,7,7,9,7,8
17,38,15,59109,15,8,7,6,6,6,5,6,5
16,27,15,43493,15,7,7,7,8,8,6,7,7
3,47,15,69312,15,9,9,9,9,8,8,9,9
5,14,15,29637,15,9,9,9,9,9,9,9,9
8,22,15,37394,15,8,9,9,8,7,7,7,7
11,48,15,69340,15,9,9,9,9,9,8,9,9
13,16,15,32930,15,8,8,8,9,9,8,8,9
14,7,15,14854,15,7,7,8,8,7,7,8,9
18,24,15,41174,15,7,7,7,8,6,6,7,6
23,5,15,11579,15,9,8,9,9,8,9,9,9
2,37,15,56987,15,7,7,7,6,6,5,6,5
17,2,15,7144,15,6,5,5,4,3,2,4,3
1,39,15,60554,15,9,8,7,8,8,9,8,3
5,10,15,23616,15,9,8,8,8,8,9,9,7
24,15,15,30144,15,8,8,7,7,7,7,7,7
2,46,15,68152,15,7,6,6,6,4,5,4,6
3,49,15,71954,15,6,5,6,6,6,6,4,3
10,50,15,72192,15,6,6,7,7,7,6,7,6
12,19,15,34366,15,6,5,6,6,6,5,6,6
21,33,15,51074,15,4,6,6,4,4,4,3,6
18,36,15,54927,15,8,9,3,7,2,1,2,2
3,18,15,33575,15,8,6,7,7,5,6,7,5
17,8,15,18269,15,8,7,4,7,7,5,6,6
11,28,15,45600,15,6,6,5,6,6,5,5,4
4,1,15,4003,15,9,9,9,9,9,9,9,9
21,13,15,28918,15,9,4,6,9,9,8,4,6
26,41,15,62215,15,9,9,9,9,9,9,9,9
9,32,15,50416,15,9,8,9,9,8,9,9,9
30,35,15,52757,15,9,9,9,9,8,7,9,9
10,40,15,61579,15,8,5,8,8,8,7,8,7
26,29,15,47890,15,9,5,8,7,7,5,8,7
11,9,15,19228,15,9,3,9,9,7,8,8,7
4,12,15,28271,15,8,7,7,8,6,8,7,7
13,34,15,51979,15,7,5,7,7,6,7,7,8
8,12,15,28271,15,9,9,9,9,9,9,9,9
16,17,15,33061,15,7,8,6,7,5,5,6,6
20,3,15,7749,15,8,5,6,6,4,6,5,5
21,43,15,65009,15,5,7,5,7,6,6,6,5
16,9,15,19228,15,8,2,7,7,7,8,7,6
27,18,15,33575,15,8,2,7,7,4,7,6,5
30,25,15,41584,15,7,2,6,4,5,4,5,3
27,44,15,66742,15,9,5,7,8,6,6,7,7
6,12,15,28271,15,7,4,4,6,4,6,6,3
12,31,15,49616,15,6,3,4,7,4,7,4,3
16,41,15,62215,15,8,7,7,9,8,8,8,8
18,6,15,12905,15,8,8,9,8,8,7,8,9
27,2,15,7144,15,8,8,9,9,7,7,8,8
30,38,15,59109,15,8,6,7,7,4,8,7,7
3,21,15,35576,15,7,6,7,8,7,5,7,6
18,1,15,4003,15,7,7,6,6,3,6,3,4
5,11,15,24301,15,8,7,6,6,6,6,5,5
12,19,15,34366,15,7,3,3,3,1,5,4,4
24,26,15,42825,15,8,6,6,6,2,5,4,3
16,16,15,32930,15,7,6,6,7,6,7,6,6
19,24,15,41174,15,7,7,6,7,4,7,7,4
27,47,15,69312,15,6,6,6,7,3,4,3,3
