"Q_part_1","Q_part_2","Q_part_3","Q_part_4","Q_part_5","Q_part_6","Q_part_7","Q_part_8","Q_part_9","Q_part_10","Q_part_11","Q_part_12","Q_part_13"
25,22,4,37394,4,6,5,6,6,4,2,3,5
18,38,4,59109,4,9,7,9,9,7,7,7,4
21,47,4,69312,4,7,5,7,7,6,7,7,4
22,20,4,34938,4,8,7,8,9,8,7,8,6
16,12,4,28271,4,9,9,9,9,9,9,9,9
22,3,4,7749,4,3,3,3,3,3,3,3,3
27,15,4,30144,4,4,5,3,4,3,3,3,3
3,25,4,41584,4,7,1,7,8,8,9,9,9
13,30,4,47964,4,8,6,8,9,7,9,9,9
23,50,4,72192,4,9,6,9,8,7,8,8,9
2,45,4,66798,4,8,7,8,6,6,8,7,7
14,40,4,61579,4,6,4,4,4,3,4,3,1
16,17,4,33061,4,6,4,4,4,3,4,3,3
25,35,4,52757,4,6,3,4,6,4,4,4,3
29,46,4,68152,4,6,3,6,6,4,6,6,4
2,39,4,60554,4,8,7,8,7,7,8,8,4
3,8,4,18269,4,8,7,8,8,7,7,8,6
12,31,4,49616,4,6,3,4,6,3,4,5,2
28,41,4,62215,4,7,6,5,5,2,6,6,3
19,23,4,38729,4,4,3,4,6,4,1,3,6
28,24,4,41174,4,7,7,8,9,6,7,7,6
15,21,4,35576,4,9,5,6,8,6,7,7,6
28,5,4,11579,4,7,3,7,7,6,7,6,4
13,48,4,69340,4,8,8,8,7,8,8,8,8
28,42,4,64407,4,6,6,6,6,6,6,6,6
3,16,4,32930,4,5,2,3,2,2,6,3,2
27,13,4,28918,4,6,4,4,5,5,4,4,5
24,27,4,43493,4,9,6,7,7,3,4,6,9
2,33,4,51074,4,3,1,3,6,2,3,2,1
3,5,4,11579,4,5,3,3,6,5,7,4,1
21,1,4,4003,4,5,6,6,5,5,7,6,5
26,28,4,45600,4,7,5,7,4,7,6,6,6
10,7,4,14854,4,4,6,2,6,1,3,2,1
5,9,4,19228,4,9,7,8,6,1,6,7,1
19,37,4,56987,4,8,8,8,7,6,6,7,6
1,44,4,66742,4,7,8,4,8,3,3,4,2
8,4,4,10428,4,7,3,6,3,2,4,4,4
18,14,4,29637,4,9,8,9,9,9,9,9,9
28,19,4,34366,4,9,9,9,9,9,9,9,6
1,32,4,50416,4,8,8,8,9,9,7,9,9
5,34,4,51979,4,7,7,8,8,9,5,8,9
3,2,4,7144,4,7,7,6,8,8,7,7,3
4,36,4,54927,4,7,7,3,1,3,3,2,3
12,26,4,42825,4,9,8,7,9,7,5,9,9
17,11,4,24301,4,9,9,9,9,9,6,8,8
2,36,4,54927,4,7,5,6,6,6,5,6,4
22,8,4,18269,4,7,8,8,4,5,4,4,5
24,32,4,50416,4,7,7,7,8,7,8,7,8
29,49,4,71954,4,4,3,5,2,1,5,2,6
4,9,4,19228,4,7,6,7,7,5,7,7,6
5,17,4,33061,4,1,1,1,1,1,1,1,1
13,23,4,38729,4,9,8,9,9,9,7,7,7
20,27,4,43493,4,9,9,9,9,8,9,9,9
3,12,4,28271,4,7,6,6,6,7,6,7,7
2,38,4,59109,4,6,8,4,6,6,8,6,6
7,29,4,47890,4,6,4,6,7,6,7,6,7
14,13,4,28918,4,7,7,6,7,7,6,7,7
26,24,4,41174,4,7,3,6,7,7,7,7,7
4,2,4,7144,4,9,4,8,8,7,6,6,8
29,21,4,35576,4,9,5,6,6,2,5,5,2
3,11,4,24301,4,8,8,7,7,7,7,7,7
16,35,4,52757,4,4,4,4,3,3,5,3,3
26,28,4,45600,4,8,8,7,7,7,7,7,7
20,16,4,32930,4,6,6,6,6,6,6,6,6
23,26,4,42825,4,9,8,9,9,9,9,9,9
21,25,4,41584,4,8,5,7,7,2,3,5,1
23,46,4,68152,4,7,6,7,7,6,5,5,6
22,7,4,14854,4,4,1,5,7,4,4,6,4
4,47,4,69312,4,9,9,9,9,7,1,9,8
