"Q_part_1","Q_part_2","Q_part_3","Q_part_4","Q_part_5","Q_part_6","Q_part_7","Q_part_8","Q_part_9","Q_part_10","Q_part_11","Q_part_12","Q_part_13"
6,5,14,11579,14,9,8,8,8,8,7,8,7
14,43,14,65009,14,8,7,7,7,6,8,7,6
29,10,14,23616,14,9,7,8,7,8,8,8,8
6,9,14,19228,14,7,6,9,9,7,7,8,6
12,16,14,32930,14,7,4,6,7,6,5,6,6
15,13,14,28918,14,7,5,6,5,4,5,4,3
23,11,14,24301,14,6,4,6,6,4,5,5,5
28,14,14,29637,14,6,4,6,7,6,8,6,6
30,39,14,60554,14,7,4,7,8,7,8,7,7
23,32,14,50416,14,7,3,8,9,8,7,7,7
26,18,14,33575,14,9,7,9,9,8,8,8,8
24,21,14,35576,14,9,9,9,9,9,9,9,9
20,45,14,66798,14,7,8,8,8,9,9,9,9
6,4,14,10428,14,6,3,6,6,4,8,4,6
4,15,14,30144,14,6,4,6,6,6,6,4,4
23,34,14,51979,14,7,7,7,7,6,7,7,7
6,40,14,61579,14,9,7,9,9,9,8,9,2
13,41,14,62215,14,9,7,9,9,8,8,9,2
17,35,14,52757,14,9,8,9,9,8,8,8,2
20,27,14,43493,14,9,9,9,9,9,9,9,1
22,47,14,69312,14,9,8,9,9,9,9,9,1
23,26,14,42825,14,7,7,7,7,5,6,5,4
24,6,14,12905,14,6,6,7,4,4,3,5,5
12,30,14,47964,14,7,7,7,7,7,6,7,7
8,19,14,34366,14,7,6,6,7,5,8,7,7
9,50,14,72192,14,8,3,7,8,4,8,7,5
10,17,14,33061,14,8,7,8,8,7,9,8,8
11,1,14,4003,14,8,5,6,7,7,7,7,8
14,33,14,51074,14,8,5,8,9,9,8,9,7
25,36,14,54927,14,9,4,9,9,9,9,8,6
29,38,14,59109,14,9,3,8,9,7,8,8,7
25,23,14,38729,14,7,4,6,7,5,6,5,5
30,42,14,64407,14,8,6,8,9,9,8,8,8
17,29,14,47890,14,7,7,5,2,6,6,6,1
30,2,14,7144,14,7,7,6,3,1,6,7,1
28,24,14,41174,14,9,8,9,9,7,9,8,7
9,28,14,45600,14,9,8,9,9,9,9,8,3
24,37,14,56987,14,9,5,7,9,9,9,9,9
20,3,14,7749,14,8,7,8,7,8,7,8,9
30,31,14,49616,14,8,8,7,7,8,7,7,8
1,44,14,66742,14,9,3,9,7,3,3,4,1
12,35,14,52757,14,3,6,3,3,5,3,3,2
30,22,14,37394,14,7,5,6,7,8,5,6,6
3,25,14,41584,14,9,8,8,8,9,7,9,8
8,32,14,50416,14,9,6,8,9,5,7,7,7
1,21,14,35576,14,8,6,8,9,8,4,9,9
2,41,14,62215,14,9,8,8,8,6,4,8,7
2,38,14,59109,14,5,4,4,3,4,2,3,3
11,18,14,33575,14,7,7,7,7,8,7,8,7
12,28,14,45600,14,7,6,7,8,7,7,8,7
16,30,14,47964,14,7,8,7,7,6,6,7,7
13,31,14,49616,14,7,7,6,7,7,7,7,8
20,16,14,32930,14,7,3,6,7,6,7,7,6
22,19,14,34366,14,7,3,7,7,7,7,7,7
1,26,14,42825,14,9,6,6,6,2,6,6,4
3,40,14,61579,14,7,4,3,7,4,2,4,3
29,14,14,29637,14,7,5,6,6,4,4,5,4
30,7,14,14854,14,7,5,6,6,5,6,6,3
26,23,14,38729,14,7,7,7,6,5,1,5,6
27,15,14,30144,14,7,5,7,7,7,8,7,7
7,10,14,23616,14,7,7,7,8,6,8,8,7
14,20,14,34938,14,8,1,3,4,2,7,2,2
18,6,14,12905,14,8,3,7,7,4,7,5,2
12,47,14,69312,14,3,7,4,8,7,8,7,5
18,11,14,24301,14,9,5,9,8,9,8,8,8
24,12,14,28271,14,9,4,9,9,8,8,8,8
22,45,14,66798,14,7,9,7,4,6,9,7,7
25,44,14,66742,14,7,3,7,7,2,7,5,7
6,49,14,71954,14,9,6,7,9,5,7,6,6
13,36,14,54927,14,9,7,6,7,4,7,7,4
14,5,14,11579,14,8,7,7,6,5,7,6,5
27,50,14,72192,14,8,7,8,7,7,6,7,5
4,17,14,33061,14,9,7,4,7,2,8,5,4
10,2,14,7144,14,9,6,7,6,7,9,9,9
24,46,14,68152,14,9,7,6,7,3,8,6,4
14,39,14,60554,14,8,7,7,8,8,8,8,8
30,25,14,41584,14,7,6,6,7,4,6,4,2
17,29,14,47890,14,7,7,8,7,8,6,7,7
3,4,14,10428,14,8,3,7,7,5,7,6,6
7,22,14,37394,14,8,5,7,6,6,7,7,7
14,37,14,56987,14,7,6,7,6,5,7,5,5
16,43,14,65009,14,7,5,7,7,7,7,7,6
21,48,14,69340,14,7,4,7,6,6,7,6,5
21,3,14,7749,14,7,3,4,4,3,3,4,3
27,33,14,51074,14,6,3,3,6,2,4,3,2
28,42,14,64407,14,4,3,3,4,3,3,3,4
14,1,14,4003,14,7,9,8,9,8,8,7,8
27,13,14,28918,14,7,7,8,7,7,8,7,8
6,34,14,51979,14,9,7,7,4,4,5,5,5
14,38,14,59109,14,9,9,8,8,8,8,8,8
29,16,14,32930,14,8,3,7,8,7,7,7,7
3,8,14,18269,14,9,3,5,5,5,7,5,4
15,11,14,24301,14,9,8,9,7,7,7,9,6
24,40,14,61579,14,7,3,7,7,4,7,6,5
29,7,14,14854,14,8,7,7,6,8,6,7,6
5,37,14,56987,14,8,8,7,7,5,5,5,6
20,8,14,18269,14,8,6,5,7,6,5,6,5
21,17,14,33061,14,9,6,6,6,5,5,6,4
12,23,14,38729,14,2,2,3,3,4,2,2,2
13,29,14,47890,14,4,4,4,7,7,4,5,4
15,14,14,29637,14,4,3,4,6,4,3,4,3
21,30,14,47964,14,9,9,8,9,9,9,9,9
7,1,14,4003,14,9,9,9,9,8,9,8,7
7,43,14,65009,14,7,7,7,6,7,7,6,7
11,26,14,42825,14,8,8,8,9,7,6,8,8
24,19,14,34366,14,7,6,6,7,6,6,7,6
27,27,14,43493,14,8,7,7,8,7,6,8,7
29,42,14,64407,14,7,3,6,7,5,8,7,5
10,31,14,49616,14,8,8,8,8,7,7,7,7
1,27,14,43493,14,9,4,7,9,2,6,3,8
19,45,14,66798,14,8,8,7,5,8,8,7,8
21,13,14,28918,14,9,9,8,5,4,8,4,2
27,32,14,50416,14,4,5,6,5,4,4,7,6
23,28,14,45600,14,9,7,9,9,7,9,8,3
27,48,14,69340,14,9,6,8,7,7,9,7,4
25,49,14,71954,14,8,2,7,7,5,7,7,7
27,46,14,68152,14,7,4,6,7,5,7,7,6
16,6,14,12905,14,6,7,4,4,3,3,3,2
20,4,14,10428,14,6,2,5,6,3,5,4,4
26,9,14,19228,14,9,1,7,8,6,9,8,8
18,2,14,7144,14,7,6,6,6,7,8,7,7
8,15,14,30144,14,9,7,9,9,8,9,9,9
16,18,14,33575,14,9,6,7,7,8,9,9,9
8,22,14,37394,14,9,7,7,7,8,5,7,8
14,47,14,69312,14,7,6,7,8,8,8,7,8
29,39,14,60554,14,8,3,7,8,8,8,8,9
8,46,14,68152,14,9,9,9,7,6,5,4,5
18,8,14,18269,14,9,4,6,3,1,3,1,1
21,20,14,34938,14,4,3,4,3,4,4,4,3
21,20,14,34938,14,9,9,7,9,7,9,9,7
6,12,14,28271,14,8,8,8,9,7,8,7,7
23,25,14,41584,14,9,7,7,7,6,7,8,4
27,21,14,35576,14,8,6,7,9,8,8,8,8
2,24,14,41174,14,8,4,4,7,3,7,3,2
6,3,14,7749,14,6,3,5,6,3,7,4,2
13,33,14,51074,14,7,4,6,7,4,6,6,3
22,24,14,41174,14,8,4,7,7,5,8,7,6
3,5,14,11579,14,7,3,4,7,5,3,6,3
30,50,14,72192,14,7,4,7,7,6,7,4,3
24,36,14,54927,14,7,6,7,7,6,6,7,7
7,44,14,66742,14,4,6,6,6,3,4,3,3
12,35,14,52757,14,5,5,5,6,3,3,4,3
28,7,14,14854,14,7,6,6,7,6,6,6,5
21,9,14,19228,14,9,5,6,7,6,5,6,7
30,34,14,51979,14,6,5,3,4,3,4,4,3
5,48,14,69340,14,7,4,3,7,4,7,4,3
6,49,14,71954,14,9,1,9,9,3,9,8,6
13,41,14,62215,14,9,9,7,7,6,8,6,5
19,10,14,23616,14,5,1,1,4,3,4,1,2
6,12,14,28271,14,7,7,5,5,3,1,4,3
