"Q_part_1","Q_part_2","Q_part_3","Q_part_4","Q_part_5","Q_part_6","Q_part_7","Q_part_8","Q_part_9","Q_part_10","Q_part_11","Q_part_12","Q_part_13"
9,34,5,51979,5,7,4,6,5,4,5,4,3
27,31,5,49616,5,7,4,6,9,6,6,6,5
2,29,5,47890,5,3,1,3,7,1,1,1,1
7,13,5,28918,5,5,1,3,1,1,3,1,1
17,35,5,52757,5,4,1,5,4,3,4,2,1
1,18,5,33575,5,9,5,6,7,4,9,7,4
10,22,5,37394,5,5,4,3,4,5,5,3,3
22,39,5,60554,5,8,3,7,9,7,9,8,9
21,44,5,66742,5,7,3,7,7,3,7,7,3
22,49,5,71954,5,6,3,3,6,3,6,3,3
19,12,5,28271,5,9,7,8,8,8,7,8,2
15,40,5,61579,5,4,3,3,2,1,2,1,1
27,28,5,45600,5,7,7,6,6,7,7,7,7
28,11,5,24301,5,5,4,4,6,4,3,4,4
9,48,5,69340,5,9,5,8,8,8,8,8,8
21,2,5,7144,5,9,5,8,8,6,9,9,9
23,1,5,4003,5,5,2,4,3,1,4,2,3
16,26,5,42825,5,7,7,7,6,4,6,6,2
10,4,5,10428,5,6,7,6,6,5,7,5,5
29,17,5,33061,5,3,1,1,1,2,2,1,1
2,6,5,12905,5,7,4,6,7,2,7,5,3
22,32,5,50416,5,8,6,7,6,6,9,7,7
2,30,5,47964,5,9,6,7,9,3,8,8,5
12,10,5,23616,5,6,3,3,2,1,2,3,1
14,25,5,41584,5,9,8,8,8,6,7,7,3
21,46,5,68152,5,6,4,3,6,1,7,3,1
25,19,5,34366,5,5,3,2,2,1,2,1,1
6,42,5,64407,5,4,3,3,4,1,5,3,1
13,21,5,35576,5,7,3,3,7,7,3,5,7
19,5,5,11579,5,7,5,3,6,4,3,4,5
9,15,5,30144,5,9,6,8,9,6,9,8,6
25,14,5,29637,5,6,1,8,8,4,9,6,3
15,9,5,19228,5,9,8,9,9,9,9,9,9
3,23,5,38729,5,8,8,8,9,9,6,9,9
10,27,5,43493,5,8,8,7,8,9,8,8,8
13,47,5,69312,5,7,7,8,7,7,7,7,7
17,16,5,32930,5,7,8,8,8,9,8,8,9
22,24,5,41174,5,7,8,7,8,8,7,7,6
1,36,5,54927,5,9,9,7,9,8,5,7,7
10,3,5,7749,5,9,9,9,9,9,5,9,8
20,8,5,18269,5,9,8,8,9,9,5,9,7
6,5,5,11579,5,7,7,7,7,7,7,7,7
10,12,5,28271,5,3,2,2,1,1,3,1,1
13,38,5,59109,5,5,4,4,3,1,6,1,1
19,26,5,42825,5,6,4,3,5,3,5,1,2
16,3,5,7749,5,9,6,6,7,7,6,7,7
6,22,5,37394,5,6,6,4,4,3,4,5,3
21,4,5,10428,5,9,9,9,9,9,8,8,9
4,20,5,34938,5,5,4,4,5,3,4,5,4
27,45,5,66798,5,6,5,6,7,6,5,4,6
5,41,5,62215,5,9,3,5,5,2,4,4,3
7,16,5,32930,5,9,3,6,7,2,5,5,3
14,36,5,54927,5,9,6,6,7,5,5,6,5
22,6,5,12905,5,8,4,4,3,1,4,2,1
26,35,5,52757,5,9,5,7,7,2,4,5,2
28,44,5,66742,5,9,6,6,6,2,5,3,1
13,29,5,47890,5,5,3,4,5,4,6,4,3
24,14,5,29637,5,8,7,8,7,7,7,7,7
15,30,5,47964,5,7,3,7,8,7,8,7,8
11,17,5,33061,5,3,3,1,1,1,9,1,1
18,48,5,69340,5,4,2,5,7,7,5,7,6
