Comparison,Z,P.unadj,P.adj
Group1_K2 - Group2_K4,-3.5376763219400096,4.036645666543536e-4,0.02664186139918734
Baseline1 - Group3_K1,-3.5390536597440474,4.0156421677258646e-4,0.026503238306990706
Baseline2 - Group3_K1,-4.075610432600371,4.589379571315984e-5,0.0030289905170685495
Group1_K1 - Group3_K1,-3.592972355055588,3.269272842361303e-4,0.0215772007595846
Group1_K2 - Group3_K1,-4.624879743375674,3.7481579866277524e-6,2.473784271174317e-4
Baseline1 - Group3_K2,-5.228798355090049,1.7061532589364526e-7,1.1260611508980587e-5
Baseline2 - Group3_K2,-5.765355127946373,8.148607293661652e-9,5.378080813816691e-7
Group1_K1 - Group3_K2,-5.28271705040159,1.272818970600859e-7,8.40060520596567e-6
Group1_K2 - Group3_K2,-6.314624438721676,2.7081833540250617e-10,1.7874010136565407e-08
Group2_K1 - Group3_K2,-4.013112277020722,5.992339282634273e-5,0.00395494392653862
Group2_K2 - Group3_K2,-3.573512704133245,3.522241460663726e-4,0.02324679364038059
Baseline1 - Group3_K3,-5.177729021725864,2.2460314019866228e-7,1.4823807253111711e-5
Baseline2 - Group3_K3,-5.714285794582188,1.101657189571097e-8,7.270937451169241e-7
Group1_K1 - Group3_K3,-5.231647717037405,1.6800570043522713e-7,1.1088376228724991e-5
Group1_K2 - Group3_K3,-6.263555105357491,3.762980911268983e-10,2.4835674014375287e-8
Group2_K1 - Group3_K3,-3.978417497030317,6.937547568314483e-5,0.004578781395087559
Group2_K2 - Group3_K3,-3.5388179241428404,4.019229724262841e-4,0.026526916180134752
Baseline1 - Group3_K4,-4.425424407060619,9.625285868455683e-6,6.35268867318075e-4
Baseline2 - Group3_K4,-4.9619811799169415,6.977775803414187e-7,4.605332030253363e-5
Group1_K1 - Group3_K4,-4.479343102372159,7.487310123556031e-6,4.941624681546981e-4
Group1_K2 - Group3_K4,-5.511250490692245,3.562932342063777e-8,2.3515353457620925e-6
Group2_K1 - Group3_K4,-3.467327154310443,5.256616875979852e-4,0.03469367138146703
