Comparison,Z,P.unadj,P.adj
Baseline1 - Group1_K1,-4.984511678373296,6.211849411823474e-7,4.099820611803493e-5
Baseline2 - Group1_K1,-5.641513811021843,1.6856151629652374e-8,1.1125060075570567e-6
Group1_K1 - Group1_K2,4.048993803374903,5.1438306568993035e-5,0.0033949282335535404
Baseline1 - Group2_K3,-3.915850609896322,9.00860205284935e-5,0.005945677354880571
Baseline2 - Group2_K3,-4.362195665605505,1.2876363108153922e-5,8.498399651381589e-4
Baseline1 - Group2_K4,-4.762204577929962,1.9148940777784793e-6,1.2638300913337964e-4
Baseline2 - Group2_K4,-5.208549633639145,1.903224433918405e-7,1.2561281263861474e-5
Group1_K2 - Group2_K4,-4.126645334994501,3.6809341130271105e-5,0.0024294165145978927
Baseline1 - Group3_K1,-5.534021631488812,3.1297035033820775e-8,2.065604312232171e-6
Baseline2 - Group3_K1,-6.191023764137359,5.977469557987274e-10,3.945129908271601e-8
Group1_K2 - Group3_K1,-4.59850375649042,4.255360434579775e-6,2.8085378868226513e-4
Baseline1 - Group3_K2,-9.051834650948463,1.4058607050267376e-19,9.278680653176468e-18
Baseline2 - Group3_K2,-9.70883678359701,2.764741787118367e-22,1.8247295794981224e-20
Group1_K1 - Group3_K2,-4.067322972575167,4.7556310652635076e-5,0.003138716503073915
Group1_K2 - Group3_K2,-8.11631677595007,4.805453443647693e-16,3.171599272807477e-14
Group2_K1 - Group3_K2,-4.612149558275072,3.985260749152798e-6,2.630272094440847e-4
Group2_K2 - Group3_K2,-3.6963409855962337,2.1872915183907265e-4,0.014436124021378794
Group3_K1 - Group3_K2,-3.51781301945965,4.351188373937679e-4,0.02871784326798868
Baseline1 - Group3_K3,-10.213874768413875,1.7186152149367638e-24,1.1342860418582641e-22
Baseline2 - Group3_K3,-10.870876901062422,1.5866842968771864e-27,1.047211635938943e-25
Group1_K1 - Group3_K3,-5.22936309004058,1.700950113809708e-7,1.1226270751144073e-5
Group1_K2 - Group3_K3,-9.278356893415483,1.7211215360286368e-20,1.1359402137789004e-18
Group2_K1 - Group3_K3,-5.401600360931537,6.604896874840955e-8,4.359231937395031e-6
Group2_K2 - Group3_K3,-4.485791788252699,7.264365546209856e-6,4.794481260498505e-4
Group3_K1 - Group3_K3,-4.679853136925063,2.870804852125757e-6,1.8947312024029998e-4
Baseline1 - Group3_K4,-10.256886245142786,1.102030547874462e-24,7.273401615971449e-23
Baseline2 - Group3_K4,-10.913888377791332,9.893216024113882e-28,6.529522575915162e-26
Group1_K1 - Group3_K4,-5.272374566769489,1.3466987471706683e-7,8.888211731326411e-6
Group1_K2 - Group3_K4,-9.321368370144393,1.1484940802916387e-20,7.580060929924816e-19
Group2_K1 - Group3_K4,-5.430820905314412,5.609540889936076e-8,3.7022969873578103e-6
Group2_K2 - Group3_K4,-4.515012332635573,6.3313081236796234e-6,4.178663361628551e-4
Group3_K1 - Group3_K4,-4.722864613653973,2.3254566317320668e-6,1.534801376943164e-4
