Comparison,Z,P.unadj,P.adj
Group2_K1 - Group2_K4,-4.0725234936920005,4.650650743056105e-5,0.0030694294904170293
Baseline1 - Group3_K1,-3.451732991410736,5.569986267693508e-4,0.03676190936677715
Baseline2 - Group3_K1,-3.694645963161576,2.2019337583781685e-4,0.014532762805295913
Group1_K1 - Group3_K1,-3.8120427259580563,1.378230449675875e-4,0.009096320967860776
Group1_K2 - Group3_K1,-4.325355601865765,1.5228599814116799e-5,0.0010050875877317088
Group2_K1 - Group3_K1,-5.027373229252728,4.972439880644461e-7,3.281810321225344e-5
Baseline1 - Group3_K2,-3.754759660862567,1.7350788811941264e-4,0.011451520615881235
Baseline2 - Group3_K2,-3.9976726326134067,6.396833596456613e-5,0.0042219101736613645
Group1_K1 - Group3_K2,-4.115069395409887,3.8706294697460694e-5,0.002554615450032406
Group1_K2 - Group3_K2,-4.628382271317596,3.685332717097635e-6,2.4323195932844392e-4
Group2_K1 - Group3_K2,-5.233239312384908,1.6656486040384948e-7,1.0993280786654066e-5
Baseline1 - Group3_K3,-3.94761512969511,7.893356244486932e-5,0.005209615121361375
Baseline2 - Group3_K3,-4.19052810144595,2.783059420873875e-5,0.0018368192177767573
Group1_K1 - Group3_K3,-4.30792486424243,1.647933418013666e-5,0.0010876360558890197
Group1_K2 - Group3_K3,-4.821237740150139,1.4267020080534168e-6,9.41623325315255e-5
Group2_K1 - Group3_K3,-5.364258803345875,8.128229222085701e-8,5.364631286576563e-6
Baseline1 - Group3_K4,-4.083857946417676,4.429411423057817e-5,0.002923411539218159
Baseline2 - Group3_K4,-4.326770918168516,1.513111836829314e-5,9.986538123073472e-4
Group1_K1 - Group3_K4,-4.444167680964997,8.823277193268944e-6,5.823362947557503e-4
Group1_K2 - Group3_K4,-4.957480556872706,7.141318633433626e-7,4.713270298066193e-5
Group2_K1 - Group3_K4,-5.456817570811155,4.847439263151262e-8,3.1993099136798327e-6
