Comparison,Z,P.unadj,P.adj
Group1_K2 - Group2_K4,-3.517583602658006,4.354951437885043e-4,0.028742679490041285
Baseline1 - Group3_K1,-4.149322179638059,3.334612072466091e-5,0.0022008439678276198
Baseline2 - Group3_K1,-4.7879046121240245,1.685317138441481e-6,1.1123093113713775e-4
Group1_K1 - Group3_K1,-3.9563423636323884,7.610606851076807e-5,0.0050230005217106926
Group1_K2 - Group3_K1,-5.1781819571214625,2.240586459381562e-7,1.478787063191831e-5
Group2_K1 - Group3_K1,-3.6649450595536175,2.4739168430966494e-4,0.016327851164437884
Baseline1 - Group3_K2,-5.5147440253088265,3.492879561703315e-8,2.3053005107241883e-6
Baseline2 - Group3_K2,-6.153326457794792,7.587439532904586e-10,5.007710091717027e-8
Group1_K1 - Group3_K2,-5.321764209303156,1.0276571869791742e-7,6.78253743406255e-6
Group1_K2 - Group3_K2,-6.54360380279223,6.005376681223808e-11,3.963548609607713e-9
Group2_K1 - Group3_K2,-4.592566538217019,4.3782784792159574e-6,2.889663796282532e-4
Group2_K2 - Group3_K2,-3.392727415495213,6.92004631269667e-4,0.04567230566379803
Baseline1 - Group3_K3,-5.921633588066331,3.187592165929386e-9,2.1038108295133949e-7
Baseline2 - Group3_K3,-6.5602160205522955,5.3729885022929275e-11,3.546172411513332e-9
Group1_K1 - Group3_K3,-5.728653772060659,1.0123076533476953e-8,6.681230512094789e-7
Group1_K2 - Group3_K3,-6.950493365549733,3.6401091962658255e-12,2.4024720695354447e-10
Group2_K1 - Group3_K3,-4.868993562623094,1.1216806130401499e-6,7.403092046064989e-5
Group2_K2 - Group3_K3,-3.669154439901288,2.4335403917930803e-4,0.01606136658583433
Baseline1 - Group3_K4,-4.734189335313951,2.1993235242776973e-6,1.45155352602328e-4
Baseline2 - Group3_K4,-5.372771767799915,7.753544308019649e-8,5.117339243292969e-6
Group1_K1 - Group3_K4,-4.54120951930828,5.593241134513218e-6,3.6915391487787235e-4
Group1_K2 - Group3_K4,-5.763049112797353,8.260774376825969e-9,5.452111088705139e-7
Group2_K1 - Group3_K4,-4.062284048591987,4.85948955619192e-5,0.0032072631070866674
