Comparison,Z,P.unadj,P.adj
Baseline1 - Group2_K4,-4.151387295695857,3.30465991976607e-5,0.0021810755470456065
Baseline2 - Group2_K4,-4.5528577503488865,5.2922058977025685e-6,3.492855892483695e-4
Group1_K1 - Group2_K4,-3.689277299726208,2.248919905990826e-4,0.01484287137953945
Group1_K2 - Group2_K4,-4.801217081873775,1.5770419664776127e-6,1.0408476978752244e-4
Baseline2 - Group3_K1,-3.8600315747428047,1.1337237477295032e-4,0.00748257673501472
Group1_K2 - Group3_K1,-4.225606612234279,2.3829797069803665e-5,0.001572766606607042
Baseline1 - Group3_K2,-6.301626165327723,2.9453888342623103e-10,1.9439566306131248e-8
Baseline2 - Group3_K2,-6.892574673726302,5.47915129180465e-12,3.6162398525910694e-10
Group1_K1 - Group3_K2,-5.621418668937112,1.8939565861985173e-8,1.2500113468910215e-6
Group1_K2 - Group3_K2,-7.2581497112177775,3.9242108981752484e-13,2.589979192795664e-11
Group2_K1 - Group3_K2,-4.244420813840103,2.1915873994284852e-5,0.0014464476836228003
Group2_K2 - Group3_K2,-3.9469251082802437,7.916130506964345e-5,0.005224646134596468
Baseline1 - Group3_K3,-5.999473908347343,1.9795783327252037e-9,1.3065216995986346e-7
Baseline2 - Group3_K3,-6.590422416745922,4.385769365992381e-11,2.8946077815549716e-9
Group1_K1 - Group3_K3,-5.3192664119567326,1.0418648162647638e-7,6.876307787347441e-6
Group1_K2 - Group3_K3,-6.955997454237398,3.500761826646088e-12,2.3105028055864183e-10
Group2_K1 - Group3_K3,-4.039148777003799,5.364553146973591e-5,0.00354060507700257
Group2_K2 - Group3_K3,-3.74165307144394,1.8281377274006124e-4,0.012065709000844043
Baseline1 - Group3_K4,-4.460905857766825,8.16139389466228e-6,5.386519970477105e-4
Baseline2 - Group3_K4,-5.051854366165405,4.375412636704284e-7,2.8877723402248275e-5
Group1_K1 - Group3_K4,-3.780698361376215,1.563890594782936e-4,0.010321677925567378
Group1_K2 - Group3_K4,-5.41742940365688,6.046201039832281e-8,3.990492686289306e-6
