"Q_part_1","Q_part_2","Q_part_3","Q_part_4","Q_part_5","Q_part_6","Q_part_7","Q_part_8","Q_part_9","Q_part_10","Q_part_11","Q_part_12","Q_part_13"
5,43,1,65009,1,7,3,6,7,3,7,4,4
26,24,1,41174,1,7,3,7,7,4,7,5,4
4,14,1,29637,1,8,5,7,7,6,7,7,6
9,9,1,19228,1,9,7,9,9,6,9,8,7
10,38,1,59109,1,8,6,8,8,6,8,7,8
21,36,1,54927,1,5,3,4,6,3,2,3,3
2,34,1,51979,1,7,7,7,7,7,8,9,2
25,22,1,37394,1,6,6,6,6,1,6,3,6
18,31,1,49616,1,7,6,7,7,9,8,8,8
3,39,1,60554,1,4,2,4,4,4,4,3,4
20,50,1,72192,1,7,3,3,3,3,3,3,3
14,28,1,45600,1,7,3,6,9,7,4,5,5
21,47,1,69312,1,7,1,5,9,3,4,4,2
26,2,1,7144,1,7,3,7,7,6,7,7,5
27,4,1,10428,1,9,2,7,9,7,8,8,7
22,7,1,14854,1,7,6,8,8,9,7,7,1
20,27,1,43493,1,7,3,4,6,4,5,5,4
26,5,1,11579,1,8,4,7,7,6,8,7,6
5,37,1,56987,1,1,1,1,1,3,2,1,1
9,32,1,50416,1,7,3,6,6,5,7,5,6
11,15,1,30144,1,5,3,3,6,5,7,5,3
24,41,1,62215,1,7,5,8,7,7,7,7,5
12,3,1,7749,1,7,1,6,6,2,8,5,6
2,21,1,35576,1,7,6,6,6,4,6,6,6
14,46,1,68152,1,6,5,5,5,5,4,4,4
23,10,1,23616,1,6,5,5,4,4,4,4,4
25,25,1,41584,1,5,4,4,4,4,4,4,4
1,11,1,24301,1,9,2,9,8,7,8,8,6
5,26,1,42825,1,5,4,4,4,3,2,3,2
9,12,1,28271,1,6,6,6,7,6,6,5,6
16,48,1,69340,1,5,2,5,6,3,5,3,2
19,44,1,66742,1,7,1,5,5,2,5,2,2
23,40,1,61579,1,6,3,5,6,5,5,5,4
16,18,1,33575,1,6,2,4,7,3,9,4,5
27,49,1,71954,1,3,3,5,6,3,5,2,3
24,33,1,51074,1,6,7,8,7,7,7,7,7
27,8,1,18269,1,7,7,8,7,7,8,8,7
22,13,1,28918,1,1,3,1,3,3,3,2,5
18,1,1,4003,1,7,5,8,9,9,5,9,8
21,6,1,12905,1,9,9,9,9,9,5,8,7
29,42,1,64407,1,9,7,8,9,9,5,9,7
3,29,1,47890,1,7,6,7,7,7,7,7,7
7,9,1,19228,1,8,8,8,8,8,8,8,8
13,34,1,51979,1,7,6,7,7,5,5,4,4
15,21,1,35576,1,9,8,9,9,9,8,8,8
29,27,1,43493,1,6,3,6,7,6,5,5,3
5,40,1,61579,1,4,1,2,3,1,3,1,1
7,18,1,33575,1,6,1,1,6,1,2,1,1
8,2,1,7144,1,7,1,6,6,1,2,1,1
1,39,1,60554,1,9,3,7,8,7,3,7,6
9,30,1,47964,1,9,7,7,7,7,7,7,7
14,7,1,14854,1,9,9,9,9,9,9,9,9
25,10,1,23616,1,9,9,9,9,9,9,9,9
26,23,1,38729,1,9,9,9,9,7,9,9,9
19,25,1,41584,1,7,7,8,8,7,6,8,8
27,36,1,54927,1,8,8,7,7,6,7,8,6
27,37,1,56987,1,7,3,7,7,6,7,7,7
3,19,1,34366,1,9,7,8,8,3,6,6,5
17,4,1,10428,1,6,5,6,7,6,6,5,4
19,20,1,34938,1,7,5,5,4,4,6,5,4
4,3,1,7749,1,5,5,6,5,4,5,5,4
19,24,1,41174,1,5,5,5,5,5,5,5,5
22,33,1,51074,1,9,7,9,9,9,9,9,9
16,45,1,66798,1,8,4,9,9,6,1,6,5
18,12,1,28271,1,5,6,6,7,7,1,6,6
29,32,1,50416,1,7,1,7,6,3,5,3,3
8,38,1,59109,1,7,3,8,8,7,8,7,5
20,46,1,68152,1,6,3,2,4,3,5,3,1
28,31,1,49616,1,7,1,4,5,3,7,6,2
2,1,1,4003,1,5,1,6,4,2,8,1,1
30,28,1,45600,1,7,6,7,4,7,7,6,7
9,11,1,24301,1,9,4,7,7,6,7,5,4
