"Q_part_1","Q_part_2","Q_part_3","Q_part_4","Q_part_5","Q_part_6","Q_part_7","Q_part_8","Q_part_9","Q_part_10","Q_part_11","Q_part_12","Q_part_13"
2,22,13,37394,13,7,3,6,9,8,8,6,8
10,27,13,43493,13,3,1,6,7,6,7,5,4
16,40,13,61579,13,7,8,7,8,5,9,7,7
2,21,13,35576,13,5,3,4,4,2,4,4,3
20,23,13,38729,13,8,7,7,7,4,7,6,6
3,15,13,30144,13,7,4,5,3,2,3,3,3
14,35,13,52757,13,6,5,4,4,2,3,2,3
3,26,13,42825,13,7,7,7,9,7,7,7,3
8,42,13,64407,13,7,5,7,7,7,5,7,3
14,46,13,68152,13,6,6,6,6,6,6,6,6
19,20,13,34938,13,7,7,7,7,7,7,7,7
27,5,13,11579,13,7,7,7,8,8,7,8,7
28,1,13,4003,13,7,7,7,7,7,7,8,8
21,50,13,72192,13,9,7,9,9,9,9,9,9
29,29,13,47890,13,7,6,6,6,6,7,6,6
5,33,13,51074,13,1,1,1,1,1,1,1,1
12,31,13,49616,13,4,4,4,4,3,4,4,4
12,2,13,7144,13,8,6,8,8,7,6,8,3
26,37,13,56987,13,9,6,8,9,8,8,8,2
6,10,13,23616,13,6,5,5,6,1,4,3,1
2,9,13,19228,13,7,4,6,6,2,3,1,1
26,30,13,47964,13,6,8,8,6,7,6,6,9
2,25,13,41584,13,6,3,3,3,2,3,4,2
4,12,13,28271,13,7,5,6,6,6,6,6,5
5,17,13,33061,13,5,7,6,4,4,5,5,5
12,47,13,69312,13,9,6,5,6,5,6,6,3
30,43,13,65009,13,3,3,4,5,4,3,3,3
12,45,13,66798,13,6,7,7,7,7,9,7,5
18,11,13,24301,13,5,5,6,5,5,5,5,5
30,44,13,66742,13,8,8,8,8,8,8,8,8
6,7,13,14854,13,2,3,6,6,5,6,5,6
5,41,13,62215,13,6,5,7,7,6,7,7,8
14,16,13,32930,13,6,7,6,6,4,7,5,5
6,6,13,12905,13,6,6,6,5,4,4,4,4
29,32,13,50416,13,6,6,6,6,6,4,4,5
23,4,13,10428,13,8,6,7,6,7,8,6,7
24,34,13,51979,13,4,3,5,6,4,6,5,5
29,24,13,41174,13,7,4,5,7,2,6,4,4
27,40,13,61579,13,3,7,4,4,5,4,4,7
6,13,13,28918,13,9,9,9,9,9,5,9,9
14,45,13,66798,13,7,7,7,8,7,7,7,7
16,46,13,68152,13,8,7,7,8,7,7,7,6
25,17,13,33061,13,6,6,7,6,5,5,5,3
3,23,13,38729,13,3,2,1,1,1,6,1,1
25,21,13,35576,13,6,4,6,6,4,4,2,7
27,48,13,69340,13,6,2,6,6,1,5,1,1
2,11,13,24301,13,3,1,4,6,3,6,3,3
19,31,13,49616,13,7,8,8,8,8,8,8,8
20,6,13,12905,13,7,7,7,7,7,7,7,7
27,30,13,47964,13,7,7,7,7,7,8,7,9
3,34,13,51979,13,2,3,4,3,3,1,3,3
20,15,13,30144,13,7,8,7,8,7,6,8,8
6,50,13,72192,13,7,6,7,6,6,7,8,6
9,18,13,33575,13,7,7,6,7,6,7,7,7
4,37,13,56987,13,6,6,6,5,4,5,5,4
