"Q_part_1","Q_part_2","Q_part_3","Q_part_4","Q_part_5","Q_part_6","Q_part_7","Q_part_8","Q_part_9","Q_part_10","Q_part_11","Q_part_12","Q_part_13"
16,17,2,33061,2,7,3,3,6,3,5,3,1
22,28,2,45600,2,6,1,3,6,4,5,5,4
11,14,2,29637,2,3,3,5,7,1,5,1,1
12,24,2,41174,2,9,9,9,9,9,9,9,9
21,11,2,24301,2,1,1,1,1,1,1,1,1
11,5,2,11579,2,7,8,8,8,7,9,9,8
29,33,2,51074,2,7,6,7,9,9,9,9,9
30,4,2,10428,2,8,5,7,7,7,7,7,5
16,39,2,60554,2,7,1,7,7,5,5,5,6
23,45,2,66798,2,6,4,5,7,3,1,4,1
1,9,2,19228,2,9,2,8,9,5,7,8,5
3,44,2,66742,2,5,3,3,6,4,6,4,4
17,46,2,68152,2,7,8,8,7,8,7,6,8
27,1,2,4003,2,8,8,8,8,9,9,9,8
12,40,2,61579,2,7,5,7,7,6,8,8,8
20,37,2,56987,2,9,6,9,9,9,9,9,9
28,6,2,12905,2,4,4,3,5,3,3,3,3
1,23,2,38729,2,9,2,7,7,3,8,5,3
11,29,2,47890,2,7,2,6,7,3,8,5,4
5,31,2,49616,2,6,6,6,6,4,4,4,4
15,13,2,28918,2,6,6,6,6,6,5,5,7
4,8,2,18269,2,6,5,7,7,5,3,3,8
12,41,2,62215,2,7,2,6,6,3,7,6,3
15,43,2,65009,2,9,1,7,7,7,9,7,6
8,18,2,33575,2,8,7,7,8,7,8,8,8
8,22,2,37394,2,3,1,4,7,3,7,3,1
20,48,2,69340,2,9,1,3,7,2,8,6,4
8,26,2,42825,2,6,2,3,5,1,7,2,1
26,36,2,54927,2,7,3,5,7,3,5,3,5
29,34,2,51979,2,7,3,6,6,3,6,3,4
17,19,2,34366,2,6,1,3,3,2,2,2,1
22,42,2,64407,2,8,2,7,8,1,8,4,2
23,49,2,71954,2,7,2,6,8,3,7,4,3
8,7,2,14854,2,9,5,9,7,6,5,6,3
20,2,2,7144,2,9,9,9,9,9,9,9,9
23,30,2,47964,2,9,5,9,9,8,9,9,9
10,50,2,72192,2,8,3,7,8,3,5,4,2
24,12,2,28271,2,6,6,8,9,8,5,9,8
6,27,2,43493,2,3,2,2,3,1,5,1,2
18,24,2,41174,2,4,2,3,2,1,4,1,2
10,13,2,28918,2,7,4,6,6,5,7,4,3
17,38,2,59109,2,9,9,8,9,9,7,7,7
21,34,2,51979,2,7,6,6,6,5,7,6,5
9,44,2,66742,2,8,7,7,6,6,6,7,8
16,11,2,24301,2,8,8,8,8,7,7,8,6
17,40,2,61579,2,6,6,7,7,7,7,7,6
13,17,2,33061,2,7,5,6,6,6,5,5,7
10,5,2,11579,2,9,2,6,6,2,5,5,2
16,20,2,34938,2,9,7,7,7,2,5,3,2
7,48,2,69340,2,5,4,4,5,4,7,4,4
9,1,2,4003,2,7,5,6,8,6,5,7,3
5,23,2,38729,2,5,5,5,5,5,5,5,5
28,22,2,37394,2,9,8,8,8,8,8,7,7
11,3,2,7749,2,3,2,3,5,1,5,2,1
27,18,2,33575,2,7,6,6,7,4,4,5,4
5,25,2,41584,2,7,1,5,8,4,8,6,4
13,2,2,7144,2,8,1,8,8,4,7,7,5
16,12,2,28271,2,8,1,7,8,7,8,8,8
25,42,2,64407,2,8,1,7,8,6,8,8,7
2,36,2,54927,2,9,9,9,9,8,1,9,9
23,41,2,62215,2,7,6,4,4,5,1,4,4
7,30,2,47964,2,3,3,4,5,3,7,3,2
21,21,2,35576,2,1,1,1,7,7,7,5,2
6,4,2,10428,2,9,8,8,8,8,8,7,6
18,29,2,47890,2,5,5,4,6,3,7,3,4
23,37,2,56987,2,7,7,7,7,6,7,7,6
3,43,2,65009,2,9,1,7,6,4,8,7,3
12,7,2,14854,2,7,1,8,8,5,9,7,4
25,15,2,30144,2,9,1,7,7,4,8,6,1
29,9,2,19228,2,9,3,9,9,9,9,7,5
25,10,2,23616,2,9,6,7,7,6,7,6,6
24,28,2,45600,2,8,3,9,7,4,9,7,4
14,35,2,52757,2,6,2,6,6,4,5,4,3
26,49,2,71954,2,9,5,6,7,2,7,5,3
5,45,2,66798,2,7,7,6,7,7,7,7,6
3,32,2,50416,2,6,5,6,6,6,4,5,7
30,33,2,51074,2,6,2,5,7,7,6,5,4
11,31,2,49616,2,7,5,6,6,5,4,5,4
18,29,2,47890,2,6,2,5,4,3,3,3,3
7,47,2,69312,2,8,1,8,8,5,9,6,3
9,2,2,7144,2,9,3,7,7,4,9,6,3
12,44,2,66742,2,6,1,5,7,3,7,4,1
21,24,2,41174,2,7,3,7,9,6,7,7,7
26,30,2,47964,2,8,7,7,7,7,6,7,6
16,28,2,45600,2,6,5,6,7,6,9,6,6
4,19,2,34366,2,3,2,4,4,2,3,1,3
26,1,2,4003,2,6,6,7,4,7,3,3,7
6,8,2,18269,2,7,4,3,4,6,4,4,2
21,40,2,61579,2,9,2,9,9,8,9,8,6
22,49,2,71954,2,9,5,8,9,8,9,9,9
26,46,2,68152,2,8,6,7,7,6,7,7,5
25,19,2,34366,2,7,1,5,7,5,8,5,5
26,33,2,51074,2,1,1,3,6,3,8,1,3
2,47,2,69312,2,9,1,4,6,6,7,5,3
16,26,2,42825,2,4,4,4,5,5,6,4,4
29,42,2,64407,2,6,4,4,5,6,4,5,5
30,6,2,12905,2,5,4,6,6,5,5,4,4
13,23,2,38729,2,9,1,9,9,6,9,6,3
8,39,2,60554,2,8,1,7,7,5,8,7,3
5,16,2,32930,2,3,2,3,5,3,1,4,1
20,16,2,32930,2,9,6,8,9,6,9,8,9
9,9,2,19228,2,9,4,5,8,6,8,7,6
20,20,2,34938,2,9,8,8,7,7,6,7,5
28,27,2,43493,2,9,8,7,7,6,5,7,7
23,21,2,35576,2,7,3,6,7,7,7,7,6
6,14,2,29637,2,9,3,9,7,1,1,1,2
9,36,2,54927,2,9,1,9,9,3,3,3,1
12,47,2,69312,2,9,1,9,9,5,5,6,2
14,10,2,23616,2,7,5,7,7,3,3,2,1
15,15,2,30144,2,7,1,6,9,3,5,1,1
12,3,2,7749,2,7,6,7,6,5,5,6,6
30,14,2,29637,2,4,5,4,4,3,5,5,5
24,11,2,24301,2,6,3,6,9,1,4,2,1
4,41,2,62215,2,7,3,6,7,4,3,3,3
5,48,2,69340,2,6,1,1,6,1,7,1,1
22,3,2,7749,2,4,1,1,1,1,6,1,1
29,21,2,35576,2,7,3,4,7,2,7,3,1
9,10,2,23616,2,6,6,6,7,6,5,7,5
19,6,2,12905,2,4,1,1,1,1,1,1,1
23,39,2,60554,2,7,3,5,7,7,6,7,5
15,16,2,32930,2,3,3,3,3,3,3,3,3
21,8,2,18269,2,6,4,4,3,3,6,3,2
28,20,2,34938,2,6,3,4,4,4,6,4,3
29,35,2,52757,2,6,1,3,7,3,7,3,1
6,5,2,11579,2,7,4,5,6,4,5,5,5
21,46,2,68152,2,7,5,7,8,6,7,6,6
24,50,2,72192,2,7,6,6,7,4,6,5,5
11,25,2,41584,2,7,3,4,6,6,6,4,2
14,38,2,59109,2,7,6,5,6,6,5,6,6
29,7,2,14854,2,7,7,6,7,7,6,7,7
30,17,2,33061,2,6,4,6,6,4,4,4,3
15,45,2,66798,2,7,2,6,6,2,6,4,7
27,32,2,50416,2,9,1,9,9,7,8,8,9
28,27,2,43493,2,4,4,4,6,4,3,3,4
1,26,2,42825,2,7,3,6,8,6,6,4,4
10,18,2,33575,2,7,1,3,7,7,7,6,7
30,22,2,37394,2,7,1,6,7,3,7,1,3
3,13,2,28918,2,5,1,6,7,3,6,3,1
10,12,2,28271,2,7,3,6,5,3,2,4,3
15,15,2,30144,2,7,1,7,7,6,5,4,2
16,37,2,56987,2,7,3,4,3,3,5,3,2
12,43,2,65009,2,7,3,6,4,1,5,5,1
24,4,2,10428,2,7,1,7,3,1,5,5,1
8,32,2,50416,2,3,3,3,7,5,6,3,6
21,50,2,72192,2,4,4,4,6,6,6,4,6
10,38,2,59109,2,6,6,6,6,4,5,5,2
14,35,2,52757,2,7,7,7,9,7,7,8,7
23,31,2,49616,2,9,9,9,9,9,9,9,9
27,34,2,51979,2,3,3,3,3,3,3,3,1
30,25,2,41584,2,9,9,9,9,9,9,9,9
