"Q_part_1","Q_part_2","Q_part_3","Q_part_4","Q_part_5","Q_part_6","Q_part_7","Q_part_8","Q_part_9","Q_part_10","Q_part_11","Q_part_12","Q_part_13"
23,23,19,38729,19,7,3,4,4,3,4,4,3
1,7,19,14854,19,3,4,3,7,3,3,4,3
11,1,19,4003,19,6,5,6,6,4,4,4,4
10,37,19,56987,19,4,3,4,7,7,3,3,3
10,17,19,33061,19,8,8,8,8,8,8,8,8
5,43,19,65009,19,7,7,7,6,5,7,6,5
4,42,19,64407,19,7,6,6,2,3,3,4,1
17,24,19,41174,19,8,6,8,7,7,8,8,9
30,36,19,54927,19,8,7,7,8,6,8,7,7
29,33,19,51074,19,9,8,9,9,9,9,9,1
30,18,19,33575,19,8,7,7,4,3,6,6,3
7,25,19,41584,19,6,8,8,5,2,5,3,2
14,5,19,11579,19,4,3,2,1,1,1,1,2
16,15,19,30144,19,4,3,4,4,3,3,3,5
4,20,19,34938,19,5,3,7,7,7,7,7,7
8,22,19,37394,19,7,7,6,7,7,8,8,7
19,21,19,35576,19,7,8,7,7,7,5,8,8
6,10,19,23616,19,7,7,7,7,7,8,8,8
2,38,19,59109,19,7,6,4,6,4,3,4,6
16,50,19,72192,19,6,6,5,5,5,4,4,4
27,28,19,45600,19,4,4,4,4,4,5,5,4
10,12,19,28271,19,7,6,5,5,6,3,5,6
17,29,19,47890,19,7,6,6,8,8,6,8,8
28,35,19,52757,19,9,7,7,7,7,9,7,8
7,9,19,19228,19,8,8,8,9,8,8,9,9
19,4,19,10428,19,7,4,6,1,3,3,3,2
20,8,19,18269,19,5,6,3,3,4,4,3,3
22,30,19,47964,19,7,7,6,6,4,6,4,5
30,2,19,7144,19,7,3,3,7,6,1,5,6
4,34,19,51979,19,9,9,7,8,4,7,8,6
16,45,19,66798,19,9,8,9,9,6,9,8,5
18,41,19,62215,19,9,9,9,6,4,9,7,8
30,26,19,42825,19,8,6,7,4,2,8,6,4
7,13,19,28918,19,8,8,8,8,8,8,9,8
14,40,19,61579,19,8,7,7,8,8,7,7,8
15,14,19,29637,19,7,8,8,7,7,7,9,8
27,27,19,43493,19,8,7,8,9,9,5,9,9
28,19,19,34366,19,9,6,9,9,9,5,9,8
17,7,19,14854,19,8,9,8,8,8,7,8,8
15,4,19,10428,19,6,1,1,1,1,1,1,1
24,35,19,52757,19,7,7,8,9,9,9,9,9
28,20,19,34938,19,9,9,9,9,9,3,9,9
2,32,19,50416,19,7,6,8,6,5,3,6,7
5,46,19,68152,19,9,9,9,7,7,6,8,7
10,43,19,65009,19,7,6,6,7,4,4,6,6
26,2,19,7144,19,9,9,9,9,9,9,9,9
15,31,19,49616,19,8,8,8,7,8,7,9,8
30,41,19,62215,19,9,7,8,7,7,7,8,7
6,9,19,19228,19,9,4,5,6,4,6,6,5
18,33,19,51074,19,9,9,7,6,3,5,7,2
3,37,19,56987,19,6,6,6,5,6,4,6,4
15,42,19,64407,19,5,5,5,5,6,5,5,5
16,49,19,71954,19,7,7,7,6,7,7,7,7
26,48,19,69340,19,8,8,8,8,8,8,8,8
7,36,19,54927,19,8,6,6,8,5,6,5,2
10,39,19,60554,19,7,7,7,8,5,6,6,7
14,13,19,28918,19,3,7,3,1,1,2,3,1
15,50,19,72192,19,7,8,6,6,5,3,5,2
2,5,19,11579,19,3,1,1,1,1,1,2,2
10,38,19,59109,19,8,8,8,8,8,8,8,8
3,19,19,34366,19,7,7,8,8,7,3,7,9
3,11,19,24301,19,8,7,9,9,9,9,9,9
12,25,19,41584,19,8,7,8,8,8,8,8,8
15,17,19,33061,19,8,6,8,7,7,8,7,8
10,26,19,42825,19,7,9,7,6,5,3,6,8
22,44,19,66742,19,9,1,3,5,4,6,3,2
7,16,19,32930,19,1,1,1,1,1,6,1,1
28,24,19,41174,19,9,9,9,6,8,3,7,9
8,47,19,69312,19,9,8,9,9,8,7,8,8
4,22,19,37394,19,7,8,8,8,8,8,8,8
21,40,19,61579,19,9,7,7,7,7,7,7,7
30,30,19,47964,19,9,5,7,7,5,6,6,6
6,18,19,33575,19,9,8,8,8,5,7,8,8
19,34,19,51979,19,8,7,8,8,8,7,7,8
30,45,19,66798,19,7,8,8,8,8,8,8,7
17,12,19,28271,19,9,6,7,7,8,7,6,4
19,8,19,18269,19,8,8,6,7,8,9,7,8
16,27,19,43493,19,7,6,4,2,2,3,3,1
19,29,19,47890,19,6,4,3,3,2,2,3,1
23,15,19,30144,19,3,3,3,2,2,2,2,1
26,14,19,29637,19,7,6,6,7,8,7,7,6
10,6,19,12905,19,7,7,6,7,6,6,6,7
22,3,19,7749,19,7,6,7,6,6,5,6,6
27,21,19,35576,19,8,6,6,6,5,6,6,4
29,1,19,4003,19,7,8,7,7,8,7,7,7
13,23,19,38729,19,5,4,4,4,3,4,4,2
