Descriptions;rico_id_0;annotation_0;rico_id_1;annotation_1;rico_id_2;annotation_2;rico_id_3;annotation_3;rico_id_4;annotation_4;rico_id_5;annotation_5;rico_id_6;annotation_6;rico_id_7;annotation_7;rico_id_8;annotation_8;rico_id_9;annotation_9;rico_id_10;annotation_10;rico_id_11;annotation_11;rico_id_12;annotation_12;rico_id_13;annotation_13;rico_id_14;annotation_14;rico_id_15;annotation_15;rico_id_16;annotation_16;rico_id_17;annotation_17;rico_id_18;annotation_18;rico_id_19;annotation_19
An app made for navigation.;7007;0;15170;1;15990;1;18953;1;27316;1;28619;1;30748;1;39464;1;40804;1;42014;1;43326;1;46769;1;46771;1;48836;1;48845;0;51024;1;60273;0;61599;0;65779;1;68970;1
A page from a recipe app allowing users to search for recipies in different categories;204;0;3671;1;4781;1;4792;0;4793;0;6391;1;10373;1;10374;1;12361;0;15251;1;23384;1;25186;1;29116;1;37173;1;38660;0;38675;1;45738;1;45740;1;59931;1;70332;1
A page from an App that is a fashion Q&A where others can help one another with different style choices.;4240;0;5462;1;13183;0;15251;0;21544;0;31880;1;31883;1;34503;0;35833;0;40150;0;42120;0;48138;1;51890;0;53486;0;54839;1;55477;1;58089;0;59801;0;60823;0;66963;0
an organisational app GUI, allowing the user to list the grocerys and save recipes;6391;0;10374;0;12361;0;20419;0;21272;0;25123;0;25185;1;25931;1;29951;0;29955;0;30134;1;38660;1;38675;0;42040;0;50386;1;52098;1;53724;1;59911;1;70329;0;70332;0
A alarm app GUI, that allows to download and play multiple audios to use as an alarm.;1877;1;4399;1;5678;0;10127;1;17903;1;25307;1;25320;1;32234;0;35925;0;35927;1;45210;1;47244;1;47248;1;52571;1;57548;0;59743;1;59744;1;61176;0;70077;1;70626;0
A page of an recipe finder, showing pictures of the food;3671;1;6391;1;8167;1;10369;1;12361;0;15251;1;17370;1;19817;1;23090;1;23379;1;25185;1;29116;1;37166;1;38660;0;45738;1;56741;1;59907;0;59931;1;70329;1;72168;0
A weather app GUI that shows the weather forecast for a given city in the following 7 days.;232;0;2894;0;8318;1;11618;1;21589;1;21890;1;25250;1;28346;0;28347;1;28767;0;29887;0;37964;0;42609;0;48737;1;48740;1;48742;1;48751;1;48756;1;60117;1;61561;1
The schedule app shows the upcoming matches of a sportsteam. It states the enemy team, where and when the Game will be and shows the logo of each team.;361;0;5174;0;5177;1;5482;1;19834;0;20376;0;20381;1;30505;0;37033;0;42251;1;42725;0;42736;1;44145;0;48247;0;51968;0;56027;0;57895;0;61592;0;61612;0;68444;1
a page from a language learning app showing common phrases in Spanish and their translations.;12092;0;27151;0;27729;1;27730;1;27731;1;27738;1;27742;1;27745;1;29439;0;29441;0;35612;0;42070;0;45033;1;52365;1;52372;1;59467;0;60912;0;60921;0;60922;1;63794;0
The GUI from a recipe app, showing a picture and the step by step directions for the dish;5258;0;8167;0;10374;0;12361;0;15251;0;21272;0;25185;1;30134;1;35915;0;37166;1;37167;1;38660;0;45732;1;52091;1;59907;0;59920;0;62610;1;62628;0;62629;1;72166;1
