query,gui_ranking
Body care products,"[20162, 28739, 28737, 2849, 51773, 31801, 31802, 1397, 60568, 58748, 53541, 53543, 53548, 53546, 63384, 63387, 45731, 4447, 35997, 42521]"
settings and options in a Gym App,"[54112, 1010, 33132, 8252, 29162, 29156, 2601, 29160, 30328, 2610, 39830, 55121, 18535, 66489, 2270, 32997, 45962, 45959, 2274, 45956]"
today storms updates,"[59150, 52327, 37413, 71700, 10041, 50715, 58873, 58881, 70890, 13752, 62677, 29528, 11823, 23714, 1095, 1090, 64157, 13984, 27988, 54315]"
a survery app with sinup and facebook login option,"[18535, 7849, 37666, 15939, 69548, 41917, 4305, 57920, 20931, 25374, 19704, 19707, 67673, 34569, 71940, 49338, 49335, 49334, 49332, 49336]"
down nearby picks,"[31953, 41693, 69266, 69276, 65194, 61556, 61554, 67203, 22258, 50216, 48252, 40197, 56093, 56082, 42641, 31955, 31964, 68626, 67770, 36790]"
screen with sample movies and information on recording with SnapMovie,"[19996, 20000, 20002, 65045, 65046, 65053, 65050, 15199, 15197, 37885, 71014, 6132, 29107, 18719, 65944, 44941, 44923, 23149, 67071, 20161]"
"Filter settings for choosing price range, number of beds and baths","[68029, 2834, 34423, 68027, 2839, 50515, 3089, 63632, 27833, 65000, 64989, 71793, 71794, 71427, 64988, 65001, 16889, 64993, 27692, 65924]"
Details about cards and numbers,"[43707, 3813, 13556, 20802, 28128, 62634, 22557, 56935, 40864, 68164, 46272, 23855, 63748, 31170, 3769, 50395, 28148, 46278, 37517, 28955]"
"search bar with shopping categories, discount advertisement and account maintenance","[64428, 7334, 33330, 65757, 22744, 42815, 53884, 22741, 56464, 35904, 64305, 6911, 51361, 64303, 69527, 4186, 55532, 10423, 8170, 19345]"
home appliances,"[30791, 68770, 1087, 52944, 9286, 51323, 9281, 17689, 66317, 25966, 66313, 59601, 25962, 66310, 23920, 40668, 58913, 9285, 66314, 13575]"
blood test with data entry and unit selection,"[25151, 47504, 47501, 57505, 19249, 37821, 64939, 70705, 70706, 28111, 28106, 41104, 41116, 45400, 39287, 61736, 15987, 26562, 31788, 53187]"
profile window with a button to take a photo or select it from galary,"[1883, 38348, 28870, 52584, 46344, 38814, 43962, 36667, 13038, 38290, 56078, 19585, 63652, 29111, 63601, 63599, 14492, 34, 24596, 12865]"
voice changer with many buttons,"[45268, 60021, 64422, 52821, 61544, 46993, 18567, 31727, 27391, 52822, 55271, 32898, 45489, 61201, 53403, 38432, 38430, 44680, 43372, 45162]"
a list of songs,"[40380, 40384, 55483, 54771, 53287, 53292, 53289, 53282, 26972, 852, 9981, 61572, 29732, 48993, 9672, 9676, 9681, 9680, 47456, 70394]"
Information with sharing and saving option,"[53446, 57917, 61684, 62888, 36879, 3772, 31172, 67334, 67440, 38513, 34569, 7260, 42402, 67673, 42407, 49336, 49332, 47400, 23149, 49344]"
"Shop for Men's,Women's and Kids","[53496, 3495, 25923, 9506, 479, 67659, 24213, 12421, 55910, 2453, 23941, 3526, 34549, 19033, 39575, 11267, 18147, 17860, 12424, 33044]"
home page of dictionary with word of day,"[61315, 7799, 8146, 61333, 61345, 61344, 61339, 61348, 11593, 45665, 63971, 48413, 2266, 35614, 71905, 71902, 71913, 27819, 30659, 28481]"
It display the Map with search bar,"[60544, 52129, 66555, 52816, 48325, 62878, 29647, 60543, 43743, 66563, 14689, 65263, 49178, 32239, 32246, 54527, 28540, 30729, 9978, 9970]"
Tiny Scanner,"[60292, 64675, 42568, 42569, 66344, 66873, 62591, 60293, 64676, 60291, 33692, 6134, 33506, 59411, 60307, 6585, 6787, 1764, 58984, 68681]"
Login with radio button with calendar,"[22878, 65193, 35133, 35129, 59581, 47741, 22542, 33336, 9149, 54640, 29481, 59561, 59570, 59568, 71515, 71519, 35128, 9559, 64081, 71512]"
sign up with welcome Bonus,"[34735, 66116, 34739, 42979, 57558, 35776, 43632, 15879, 41205, 10119, 13707, 36003, 36001, 63920, 63931, 53258, 1851, 53432, 46962, 53421]"
a news and an advertisement,"[54133, 7743, 68871, 68882, 51334, 68886, 13837, 60725, 10078, 10090, 7758, 1565, 16515, 26746, 71379, 10809, 68816, 1570, 64701, 65048]"
a sreen to enter the personal details,"[57264, 20780, 2783, 20785, 58266, 68242, 15665, 58129, 37508, 32392, 65494, 48806, 31142, 20850, 23654, 50422, 66701, 53041, 19835, 49259]"
displays the latest news in page,"[53555, 54133, 3318, 71379, 47802, 23820, 68523, 16515, 65007, 70822, 20452, 36328, 36310, 39554, 56160, 42736, 1205, 15067, 23219, 18565]"
celebrity news,"[64845, 35531, 62374, 50096, 8198, 54133, 1565, 43051, 71379, 43824, 18870, 13837, 39166, 16515, 1570, 66386, 36553, 41590, 62454, 62518]"
2D graph with a point and its dimensions,"[61057, 54499, 54498, 28171, 28178, 54502, 44202, 18785, 51884, 2182, 54506, 54503, 20334, 20329, 12651, 36669, 28616, 64823, 10143, 68768]"
blood glucose tracker side bar,"[47499, 47504, 47505, 47502, 47503, 5816, 8520, 4688, 57507, 51782, 71582, 4503, 37821, 64939, 5803, 58146, 39596, 39600, 68962, 69142]"
Japanese anime books and ads,"[50541, 26793, 40153, 1616, 14602, 24769, 57209, 4000, 61351, 25345, 52517, 24714, 22216, 22219, 45340, 39171, 39173, 25397, 62637, 6968]"
"weather details with temperature, pressure and relative humidity","[53167, 35327, 36325, 37413, 54919, 25852, 46540, 28349, 26022, 51071, 66930, 63695, 36332, 54533, 65446, 54924, 58863, 68011, 25849, 29312]"
details for disclaimer,"[39263, 24293, 39211, 46997, 63619, 46418, 38067, 39212, 62940, 41826, 32973, 16662, 70874, 62943, 40654, 40640, 40641, 67984, 49259, 10772]"
information description with login button,"[32639, 5593, 61528, 7293, 16266, 46884, 13352, 25112, 69952, 42470, 19432, 27758, 33358, 71511, 61167, 12865, 63601, 63599, 61236, 29177]"
google map with details,"[2210, 2211, 2209, 70756, 53736, 42723, 12353, 63609, 60544, 63614, 13257, 13254, 16910, 56256, 2543, 57641, 12388, 2754, 24475, 56275]"
2D model of solunar clock,"[54641, 54642, 54643, 69797, 29683, 31205, 44683, 38688, 30607, 47241, 47254, 24042, 24037, 24027, 3294, 18248, 40998, 3856, 23601, 17913]"
add location by pinning the place,"[61703, 40686, 3924, 62872, 3920, 10610, 1469, 9898, 43193, 71246, 45909, 59525, 50631, 8574, 43184, 28150, 28124, 64888, 64891, 64897]"
various emojis,"[62124, 39106, 61714, 38291, 22928, 13442, 10909, 38363, 38349, 70500, 70498, 4205, 46156, 6854, 26243, 2524, 64948, 17567, 37295, 71]"
football match details with upcoming match information,"[30357, 57925, 15554, 24991, 57926, 57923, 53563, 43102, 54752, 51476, 51475, 43109, 10622, 13890, 13906, 13896, 13895, 13915, 13898, 13903]"
"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series","[37236, 37233, 37232, 11383, 56991, 3989, 3991, 26031, 56994, 11384, 61463, 56998, 31527, 61538, 9015, 35694, 35701, 6257, 70058, 70056]"
informations about Grace Chan,"[17255, 61853, 1080, 36565, 37862, 37842, 37852, 39318, 43064, 30994, 30990, 70405, 50993, 29521, 29515, 66725, 27807, 545, 61860, 39317]"
UI for share and add location screen,"[49233, 12147, 22080, 68076, 31522, 12355, 59781, 41625, 41623, 40348, 40346, 40349, 7653, 39571, 39237, 12162, 12167, 18958, 15505, 15312]"
Months of a year from January to November with a radio button to choose,"[15298, 48591, 64533, 28181, 25408, 11977, 60445, 15356, 51056, 57993, 12409, 60976, 43422, 59581, 18499, 42782, 9559, 11640, 11642, 56729]"
emoticons of yellow faces to choose from,"[30432, 30433, 30431, 41700, 22255, 37354, 68987, 11632, 60631, 18792, 61838, 35887, 33561, 31179, 55875, 31181, 13309, 72194, 28001, 41478]"
Ui for user profile,"[3701, 60542, 1583, 49799, 62147, 67745, 47364, 39606, 10203, 10217, 39237, 40348, 40346, 40349, 41623, 40556, 7653, 40818, 24785, 7740]"
word levels,"[23247, 57064, 4252, 4250, 19209, 23179, 61828, 35547, 54891, 18097, 48413, 11674, 63973, 45690, 37849, 57067, 12117, 29261, 29265, 29258]"
contact details form,"[25713, 2837, 6861, 65494, 15513, 29981, 64300, 64299, 66701, 3372, 46777, 66696, 59279, 10286, 17044, 54543, 15867, 39054, 15038, 15043]"
List of blocked accounts and contacts,"[57178, 19618, 35058, 44157, 44159, 44156, 3444, 63748, 27392, 44153, 44151, 31533, 2594, 43097, 10590, 44152, 37277, 52021, 48823, 66872]"
photo preview app with zoomIn zoomOut options,"[69708, 13306, 51574, 49337, 18795, 20276, 20273, 5847, 49456, 36316, 36321, 20057, 18796, 18799, 19983, 19988, 22596, 22591, 35897, 31109]"
page that display the questions  with options,"[30849, 56520, 44436, 52303, 50286, 4505, 7519, 59478, 59473, 59472, 59470, 37796, 37795, 37797, 66489, 30245, 71647, 2274, 6888, 60424]"
near  important places,"[33755, 12189, 61696, 3370, 68289, 47302, 9909, 15689, 9834, 62260, 66553, 66552, 20146, 12394, 7384, 20147, 8575, 40678, 52949, 69000]"
video editor,"[63266, 60343, 27481, 27482, 27485, 27484, 16, 63264, 60346, 60347, 63717, 53012, 14191, 34997, 13339, 37560, 37568, 52864, 47530, 3789]"
sports news overview,"[21660, 8775, 20718, 25066, 57889, 10803, 19082, 8522, 55542, 55540, 10428, 25989, 5907, 44253, 44257, 48736, 33717, 57896, 21900, 55534]"
Advertisment of FedEx,"[28977, 28977, 28977, 68224, 57901, 57903, 57899, 57900, 57898, 10569, 14416, 39664, 24191, 24189, 24194, 72218, 24187, 24186, 24185, 24184]"
Most demanded news and article,"[56393, 7957, 29144, 20344, 37324, 15775, 41495, 36173, 67984, 5184, 1558, 16503, 37326, 279, 2850, 7959, 56396, 56394, 15776, 2856]"
