Nummer;Rico ID;Include;Clear Funct.;English;NSFW;Error In GUI;Religious;Too Simple
155;3363;No;Yes;Yes;No;Yes;No;Yes
262;3386;Yes;Yes;Yes;No;No;No;No
35;3790;Yes;Yes;Yes;No;No;No;No
168;4003;No;Yes;Yes;No;No;No;Yes
83;4173;Yes;Yes;Yes;No;No;No;No
299;4306;No;No;Yes;No;No;No;Yes
92;4328;Yes;Yes;Yes;No;No;No;No
200;5344;No;No;Yes;No;Yes;No;Yes
110;5797;No;Yes;Yes;No;No;No;Yes
124;6011;Yes;Yes;Yes;No;No;No;No
47;6448;No;No;Yes;No;No;No;Yes
82;6504;No;No;Yes;No;No;No;Yes
160;6705;Yes;Yes;Yes;No;No;No;No
276;6992;No;Yes;Yes;No;No;No;Yes
101;7028;No;No;Yes;No;No;Yes;Yes
150;7144;Yes;Yes;Yes;No;No;No;No
185;7376;No;Yes;Yes;No;No;No;Yes
288;7749;Yes;Yes;Yes;No;No;No;No
147;7927;Yes;Yes;Yes;No;No;No;No
324;8058;Yes;Yes;Yes;No;No;No;No
210;8122;No;Yes;Yes;No;No;No;Yes
59;8457;No;Yes;Yes;No;No;No;Yes
100;8529;Yes;Yes;Yes;No;No;No;No
336;8610;Yes;Yes;Yes;No;No;No;No
73;8925;Yes;Yes;Yes;No;No;No;No
241;9041;Yes;Yes;Yes;No;No;No;No
52;9082;No;Yes;Yes;No;No;No;Yes
14;9470;Yes;Yes;Yes;No;No;No;No
12;10054;No;Yes;Yes;No;No;No;Yes
42;10063;No;No;Yes;No;No;No;Yes
70;10086;No;No;Yes;No;No;No;Yes
128;10089;No;Yes;Yes;No;No;No;Yes
23;10301;No;Yes;Yes;No;No;No;Yes
273;10409;No;No;No;No;No;No;No
277;10428;Yes;Yes;Yes;No;No;No;No
344;10587;No;Yes;Yes;No;Yes;No;Yes
206;10622;No;No;Yes;No;No;No;Yes
26;11075;No;No;Yes;No;No;No;Yes
220;11194;No;No;Yes;No;No;No;Yes
144;11579;Yes;Yes;Yes;No;No;No;No
333;11677;No;No;Yes;No;No;No;Yes
53;11683;Yes;Yes;Yes;No;No;No;No
261;11762;Yes;Yes;Yes;No;No;No;No
103;11811;No;Yes;Yes;No;No;Yes;Yes
190;12025;Yes;Yes;Yes;No;No;No;No
238;12074;No;Yes;Yes;No;No;No;Yes
257;12905;Yes;Yes;Yes;No;No;No;No
270;12920;Yes;Yes;Yes;No;No;No;No
65;13050;Yes;Yes;Yes;No;No;No;No
171;13153;No;Yes;Yes;No;No;No;Yes
334;14066;No;Yes;Yes;No;No;No;Yes
182;14240;No;Yes;Yes;No;No;No;Yes
269;14484;No;Yes;Yes;No;No;No;Yes
249;14569;No;Yes;Yes;No;Yes;No;Yes
136;14661;No;Yes;Yes;No;No;No;Yes
320;14854;Yes;Yes;Yes;No;No;No;No
13;14895;Yes;Yes;Yes;No;No;No;No
267;15126;No;Yes;Yes;No;Yes;No;No
234;15163;No;No;Yes;No;No;No;Yes
214;15255;Yes;Yes;Yes;No;No;No;No
252;15261;Yes;Yes;Yes;No;No;No;No
308;15270;No;No;No;No;No;No;No
87;15521;Yes;Yes;Yes;No;No;No;No
71;15583;No;No;Yes;No;Yes;No;Yes
64;15622;No;Yes;Yes;No;No;No;Yes
311;15809;No;Yes;Yes;No;No;No;Yes
78;16180;No;Yes;No;No;No;No;No
163;16600;Yes;Yes;Yes;No;No;No;No
91;17199;No;Yes;Yes;No;No;No;Yes
330;17200;Yes;Yes;Yes;No;No;No;No
284;17432;No;Yes;Yes;No;No;No;Yes
228;18082;Yes;Yes;Yes;No;No;No;No
289;18269;Yes;Yes;Yes;No;No;No;No
278;18977;No;No;Yes;No;No;No;Yes
