Nummer;Rico ID;Include;Clear Funct.;English;NSFW;Error In GUI;Religious;Too Simple
155;3363;No;No;No;No;No;No;Yes
262;3386;Yes;Yes;Yes;No;No;No;No
35;3790;Yes;Yes;Yes;No;No;No;No
168;4003;Yes;Yes;Yes;No;No;No;No
83;4173;No;No;No;No;No;No;No
299;4306;No;No;No;Yes;No;No;Yes
92;4328;Yes;Yes;Yes;No;No;No;No
200;5344;No;No;No;No;Yes;No;Yes
110;5797;Yes;Yes;Yes;No;No;No;No
124;6011;Yes;Yes;Yes;No;No;No;No
47;6448;No;No;No;No;No;No;No
82;6504;No;No;No;No;No;No;Yes
160;6705;Yes;Yes;Yes;No;No;No;No
276;6992;Yes;Yes;Yes;No;No;No;No
101;7028;Yes;Yes;Yes;No;No;Yes;No
150;7144;Yes;Yes;Yes;No;No;No;No
185;7376;Yes;Yes;Yes;No;No;No;No
288;7749;Yes;Yes;Yes;No;No;No;No
147;7927;Yes;Yes;Yes;No;No;No;No
324;8058;Yes;Yes;Yes;No;No;No;No
210;8122;No;No;;No;No;No;No
59;8457;Yes;Yes;Yes;No;No;No;No
100;8529;Yes;Yes;Yes;No;No;No;No
336;8610;Yes;Yes;Yes;No;No;No;No
73;8925;Yes;Yes;Yes;No;No;No;No
241;9041;Yes;Yes;Yes;No;No;No;No
52;9082;Yes;Yes;Yes;No;No;No;No
14;9470;Yes;Yes;Yes;No;No;No;No
12;10054;Yes;Yes;Yes;No;No;No;No
42;10063;Yes;Yes;Yes;No;No;No;No
70;10086;No;No;No;No;No;No;Yes
128;10089;Yes;Yes;Yes;No;No;No;No
23;10301;Yes;Yes;Yes;No;No;No;No
273;10409;No;No;No;No;No;No;No
277;10428;Yes;Yes;Yes;No;No;No;No
344;10587;No;No;No;No;Yes;No;No
206;10622;Yes;Yes;Yes;No;No;No;No
26;11075;No;No;No;No;No;No;No
220;11194;No;No;No;No;No;No;Yes
144;11579;Yes;Yes;Yes;No;No;No;No
333;11677;No;No;No;No;No;No;Yes
53;11683;No;No;Yes;No;No;No;Yes
261;11762;Yes;Yes;Yes;No;No;No;No
103;11811;No;No;No;No;No;Yes;Yes
190;12025;Yes;Yes;Yes;No;No;No;No
238;12074;Yes;Yes;Yes;No;No;No;No
257;12905;Yes;Yes;Yes;No;No;No;No
270;12920;Yes;Yes;Yes;No;No;No;No
65;13050;Yes;Yes;Yes;No;No;No;No
171;13153;Yes;Yes;Yes;No;No;No;No
334;14066;Yes;Yes;Yes;No;No;No;No
182;14240;Yes;Yes;Yes;No;No;No;No
269;14484;No;No;No;No;No;No;Yes
249;14569;No;No;No;No;Yes;No;No
136;14661;Yes;Yes;Yes;No;No;No;No
320;14854;Yes;Yes;Yes;No;No;No;No
13;14895;Yes;Yes;Yes;No;No;No;No
267;15126;No;No;No;No;Yes;No;No
234;15163;No;No;No;No;No;No;Yes
214;15255;Yes;Yes;Yes;No;No;No;No
